"Name","Weight","Duration","Weight","POSTPROCESS"
ЧГК,1000,10,"NECESSARY:10;PEOPLE:10"
Разбирать вещи вещи,1000,30,"CLEAN:30;FAMILY:30;NECESSARY:30"
Постирать плед,1000,5,"CLEAN:5;NECESSARY:5"
Роутер красная лампа,1000,20,"NECESSARY:20"
Ответ Finanzverwaltung,1000,30,"NECESSARY:30"
Тироксин,1000,40,"NECESSARY:40"
Батарейка для маркизы,1000,30,"NECESSARY:30"
Определится с авто,1000,5,"NECESSARY:5"
Крышечка для авто,1000,15,"NECESSARY:15"
Немецкий квиз,1000,60,"NECESSARY:60;PEOPLE:60"
танк,1000,15,"NECESSARY:15;FAMILY:15;LEISURE:15"
Часы в машине,1000,10,"NECESSARY:10"
танк,1000,15,"NECESSARY:15;FAMILY:15;LEISURE:15"
танк,1000,15,"NECESSARY:15;FAMILY:15;LEISURE:15"
танк,1000,15,"NECESSARY:15;FAMILY:15;LEISURE:15"
танк,1000,15,"NECESSARY:15;FAMILY:15;LEISURE:15"
Держалка для губки,1000,15,"NECESSARY:15;CLEAN:15"
стена у Рады,1000,30,"NECESSARY:30;CLEAN:30"
стена у Рады,1000,30,"NECESSARY:30;CLEAN:30"
стена у Рады,1000,30,"NECESSARY:30;CLEAN:30"
стена у Рады,1000,30,"NECESSARY:30;CLEAN:30"
стена у Рады,1000,30,"NECESSARY:30;CLEAN:30"
постирать матрас,1000,180,"NECESSARY:180;CLEAN:180"
отстирать пятно на рубашке,1000,15,"NECESSARY:15;CLEAN:15"
Стирать кросовки,1000,10,"NECESSARY:10;CLEAN:10"
термостаты,1000,15,"NECESSARY:30"
починить заколку,1000,15,"NECESSARY:15"
мотоцикл,1000,5,"NECESSARY:5"
замена телефона,1000,5,"NECESSARY:15;DIFFERENT:5"
chat gpt,1000,5,"NECESSARY:5"
монитор,1000,5,"NECESSARY:30;DIFFERENT:30"
